TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
23-06-11 00:07:09,199.143,0.025,0.048,12.284,OFF
23-06-11 00:22:09,200.229,0.025,0.131,12.284,OFF
23-06-11 00:37:09,204.914,0.025,0.101,12.284,OFF
23-06-11 00:52:09,213.503,0.025,0.131,12.284,OFF
23-06-11 01:07:09,212.212,0.025,0.104,12.284,OFF
23-06-11 01:22:09,225.131,0.025,0.179,12.284,OFF
23-06-11 01:37:09,224.717,0.025,0.218,12.284,OFF
23-06-11 01:52:09,225.737,0.025,0.087,12.284,OFF
23-06-11 02:07:09,231.943,0.025,0.088,12.284,OFF
23-06-11 02:22:09,236.622,0.025,0.05,12.284,OFF
23-06-11 02:37:09,236.452,0.025,0.218,12.284,OFF
23-06-11 02:52:09,236.611,0.025,0.022,12.284,OFF
23-06-11 03:07:09,239.831,0.025,0.049,12.284,OFF
23-06-11 03:22:09,239.972,0.025,0.137,12.284,OFF
23-06-11 03:37:09,240.731,0.025,0.143,12.284,OFF
23-06-11 03:52:09,242.137,0.025,0.144,12.284,OFF
23-06-11 04:07:09,242.211,0.025,0.117,12.284,OFF
23-06-11 04:22:09,244.095,0.025,0.157,12.284,OFF
23-06-11 04:37:09,246.222,0.025,0.23,12.284,OFF
23-06-11 04:52:09,243.894,0.025,0.265,12.284,OFF
23-06-11 05:07:09,245.237,0.025,0.041,12.284,OFF
23-06-11 05:22:09,244.758,0.025,0.038,12.284,OFF
23-06-11 05:37:09,244.176,0.025,0.08,12.284,OFF
23-06-11 05:52:09,244.106,0.025,0.13,12.284,OFF
23-06-11 06:07:09,244.907,0.025,0.125,12.284,OFF
23-06-11 06:22:09,243.744,0.025,0.06,12.284,OFF
23-06-11 06:37:09,244.788,0.025,0.146,12.284,OFF
23-06-11 06:52:09,243.284,0.025,0.058,12.284,OFF
23-06-11 07:07:09,244.891,0.025,0.077,12.284,OFF
23-06-11 07:22:09,240.161,0.025,0.014,12.284,OFF
23-06-11 07:37:09,241.476,0.025,0.092,12.284,OFF
23-06-11 07:52:09,240.3,0.025,0.117,12.284,OFF
23-06-11 08:07:09,243.382,0.025,0.086,12.284,OFF
23-06-11 08:22:09,242.957,0.025,0.088,12.285,OFF
23-06-11 08:37:09,241.736,0.025,0.135,12.285,OFF
23-06-11 08:52:09,240.77,0.025,0.041,12.285,OFF
23-06-11 09:07:09,238.7,0.025,0.152,12.285,OFF
23-06-11 09:22:09,235.716,0.025,0.242,12.285,OFF
23-06-11 09:37:09,232.452,0.025,0.036,12.285,OFF
23-06-11 09:52:09,228.691,0.025,0.031,12.285,OFF
23-06-11 10:07:09,226.117,0.025,0.224,12.285,OFF
23-06-11 10:22:09,222.449,0.025,0.141,12.285,OFF
23-06-11 10:37:09,212.84,0.025,0.133,12.285,OFF
23-06-11 10:52:09,210.742,0.025,0.279,12.285,OFF
23-06-11 11:07:09,208.653,0.025,0.182,12.285,OFF
23-06-11 11:22:09,209.762,0.025,0.058,12.285,OFF
23-06-11 11:37:09,209.217,0.025,0.211,12.285,OFF
23-06-11 11:52:09,205.742,0.025,0.014,12.285,OFF
23-06-11 12:07:09,210.67,0.025,0.027,12.285,OFF
23-06-11 12:22:09,201.233,0.025,0.437,12.285,OFF
23-06-11 12:37:09,202.426,0.025,0.111,12.285,OFF
23-06-11 12:52:09,202.523,0.025,0.001,12.285,OFF
23-06-11 13:07:09,209.536,0.025,0.048,12.285,OFF
23-06-11 13:22:09,205.747,0.025,0.064,12.285,OFF
23-06-11 13:34:43,211.639,0.172,36.183,12.285,ON
23-06-11 13:35:10,211.353,0.025,0.214,12.285,OFF
23-06-11 13:35:40,209.872,0.164,34.109,12.285,ON
23-06-11 13:35:57,211.414,0.025,0.141,12.286,OFF
23-06-11 13:36:07,208.544,0.164,33.893,12.286,ON
23-06-11 13:36:13,207.196,0.025,0.177,12.286,OFF
23-06-11 13:37:09,209.05,0.025,0.231,12.286,OFF
23-06-11 13:37:14,208.498,0.161,33.381,12.286,ON
23-06-11 13:40:13,204.464,0.025,0.013,12.287,OFF
23-06-11 13:41:07,202.759,0.169,33.969,12.287,ON
23-06-11 13:52:09,202.968,0.143,28.743,12.293,ON
23-06-11 14:07:09,203.907,0.141,28.402,12.3,ON
23-06-11 14:22:09,203.047,0.139,27.973,12.307,ON
23-06-11 14:35:31,205.722,0.025,0.029,12.314,OFF
23-06-11 14:37:09,202.821,0.025,0.009,12.314,OFF
23-06-11 14:52:09,201.565,0.025,0.155,12.314,OFF
23-06-11 15:07:09,195.303,0.025,0.088,12.314,OFF
23-06-11 15:22:09,201.466,0.025,0.057,12.314,OFF
23-06-11 15:37:09,207.825,0.025,0.019,12.314,OFF
23-06-11 15:49:21,208.047,0.139,28.173,12.314,ON
23-06-11 15:52:09,204.942,0.16,32.616,12.315,ON
23-06-11 15:54:41,209.435,0.025,0.129,12.316,OFF
23-06-11 15:54:48,209.661,0.148,30.948,12.316,ON
23-06-11 16:03:28,208.567,0.146,30.152,12.319,ON
