DEVICE NAME,EM105_v2.1
TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
22-10-07 15:23:53,246.994,0.039,5.664,0.001,ON
22-10-07 15:27:14,246.845,0.025,1.187,0.019,OFF
22-10-07 17:59:46,228.984,0.025,0.018,0.019,OFF
22-10-07 18:14:46,229.425,0.025,0.106,0.019,OFF
22-10-07 18:29:46,229.553,0.025,0.158,0.019,OFF
22-10-07 18:44:46,229.583,0.025,0.471,0.019,OFF
22-10-07 18:59:46,229.662,0.025,0.067,0.019,OFF
22-10-07 19:14:46,229.635,0.025,0.086,0.019,OFF
22-10-07 19:29:46,229.676,0.025,0.084,0.019,OFF
22-10-07 19:44:46,229.498,0.025,0.046,0.019,OFF
22-10-07 19:59:46,229.447,0.025,0.066,0.020,OFF
22-10-07 20:14:46,229.646,0.025,0.149,0.020,OFF
22-10-07 20:29:46,229.239,0.025,0.142,0.020,OFF
22-10-07 20:44:46,229.635,0.025,0.090,0.020,OFF
22-10-07 20:59:46,229.946,0.025,0.044,0.020,OFF
22-10-07 21:14:46,229.941,0.025,0.119,0.020,OFF
22-10-07 21:29:46,230.033,0.025,0.056,0.020,OFF
22-10-07 21:44:46,229.615,0.025,0.071,0.020,OFF
22-10-07 21:59:46,230.470,0.025,0.115,0.020,OFF
22-10-07 22:14:46,229.351,0.025,0.167,0.020,OFF
22-10-07 22:29:46,229.582,0.025,0.137,0.020,OFF
22-10-07 22:44:46,229.985,0.025,0.156,0.020,OFF
22-10-07 22:59:46,229.433,0.025,0.184,0.020,OFF
22-10-07 23:14:46,230.066,0.025,0.007,0.020,OFF
22-10-07 23:29:46,230.073,0.025,0.245,0.020,OFF
22-10-07 23:44:46,229.885,0.025,0.093,0.020,OFF
22-10-07 23:59:46,229.547,0.025,0.146,0.020,OFF
22-10-08 00:14:46,229.910,0.025,0.102,0.020,OFF
22-10-08 00:29:46,229.144,0.025,0.160,0.020,OFF
22-10-08 00:44:46,229.633,0.025,0.064,0.020,OFF
22-10-08 00:59:46,229.485,0.025,0.112,0.020,OFF
22-10-08 01:14:46,229.559,0.025,0.113,0.020,OFF
22-10-08 01:29:46,229.576,0.025,0.224,0.020,OFF
22-10-08 01:44:46,229.915,0.025,0.057,0.020,OFF
22-10-08 01:59:46,229.701,0.025,0.049,0.020,OFF
22-10-08 02:14:46,229.600,0.025,0.029,0.020,OFF
22-10-08 02:29:46,230.021,0.025,0.116,0.020,OFF
22-10-08 02:44:46,229.672,0.025,0.046,0.020,OFF
22-10-08 02:59:46,229.836,0.025,0.053,0.020,OFF
22-10-08 03:14:46,229.511,0.025,0.082,0.020,OFF
22-10-08 03:29:46,229.551,0.025,0.133,0.020,OFF
22-10-08 03:44:46,229.675,0.025,0.206,0.020,OFF
22-10-08 03:59:46,229.324,0.025,0.188,0.020,OFF
22-10-08 04:14:46,229.789,0.025,0.157,0.021,OFF
22-10-08 04:29:46,229.307,0.025,0.014,0.021,OFF
22-10-08 04:44:46,229.391,0.025,0.049,0.021,OFF
22-10-08 04:59:46,229.566,0.025,0.139,0.021,OFF
22-10-08 05:14:46,229.303,0.025,0.091,0.021,OFF
22-10-08 05:29:46,229.587,0.025,0.048,0.021,OFF
22-10-08 05:44:46,229.662,0.025,0.011,0.021,OFF
22-10-08 05:59:46,229.750,0.025,0.207,0.021,OFF
22-10-08 06:14:46,230.035,0.025,0.479,0.021,OFF
22-10-08 06:29:46,229.269,0.025,0.171,0.021,OFF
22-10-08 06:44:46,229.646,0.025,0.214,0.021,OFF
22-10-08 06:59:46,229.998,0.025,0.082,0.021,OFF
22-10-08 07:14:46,229.238,0.025,0.018,0.021,OFF
22-10-08 07:29:46,229.551,0.025,0.216,0.021,OFF
22-10-08 07:44:46,229.564,0.025,0.020,0.021,OFF
22-10-08 07:59:46,229.691,0.025,0.198,0.021,OFF
22-10-08 08:14:46,229.255,0.025,0.092,0.021,OFF
22-10-08 08:29:46,229.691,0.025,0.121,0.021,OFF
22-10-08 08:44:46,229.300,0.025,0.071,0.021,OFF
22-10-08 08:59:46,230.050,0.025,0.499,0.021,OFF
22-10-08 09:14:46,229.956,0.025,0.166,0.021,OFF
22-10-08 09:29:46,229.534,0.025,0.165,0.021,OFF
22-10-08 09:44:46,229.540,0.025,0.077,0.021,OFF
22-10-08 09:59:46,229.726,0.025,0.157,0.021,OFF
22-10-08 10:14:46,226.450,0.025,0.019,0.021,OFF
22-10-08 10:29:46,226.135,0.025,0.017,0.021,OFF
22-10-08 10:44:46,228.976,0.025,0.052,0.021,OFF
22-10-08 10:59:46,229.434,0.025,0.008,0.021,OFF
22-10-08 11:04:09,229.805,0.199,9.020,0.022,ON
22-10-08 11:14:46,229.376,0.043,5.449,0.103,ON
22-10-08 11:22:06,229.482,0.025,1.282,0.150,OFF
22-10-08 11:29:46,226.369,0.025,0.071,0.150,OFF
22-10-08 11:44:46,229.235,0.025,0.152,0.150,OFF
22-10-08 11:59:46,229.815,0.025,0.086,0.150,OFF
22-10-08 12:14:46,229.446,0.025,0.249,0.150,OFF
22-10-08 12:29:46,228.825,0.025,0.117,0.150,OFF
22-10-08 12:44:46,229.129,0.025,0.158,0.151,OFF
22-10-08 12:59:46,229.802,0.025,0.065,0.151,OFF
22-10-08 13:14:46,228.948,0.025,0.053,0.151,OFF
22-10-08 13:29:46,229.297,0.025,0.212,0.151,OFF
22-10-08 13:44:46,229.173,0.025,0.227,0.151,OFF
22-10-08 13:59:46,228.696,0.025,0.061,0.151,OFF
22-10-08 14:14:46,228.346,0.025,0.199,0.151,OFF
22-10-08 14:29:46,227.989,0.025,0.273,0.151,OFF
22-10-08 14:44:46,228.892,0.025,0.060,0.151,OFF
22-10-08 14:59:46,229.200,0.025,0.106,0.151,OFF
22-10-08 15:14:46,229.533,0.025,0.015,0.151,OFF
22-10-08 15:29:46,228.792,0.025,0.118,0.151,OFF
22-10-08 15:44:46,228.968,0.025,0.138,0.151,OFF
22-10-08 15:59:46,229.087,0.025,0.034,0.151,OFF
22-10-08 16:14:46,228.901,0.025,0.168,0.151,OFF
23-06-06 00:00:24,165.921,0.250,30.981,37.908,ON
23-06-06 00:15:24,182.210,0.236,31.047,37.915,ON
23-06-06 00:26:07,149.733,0.025,0.273,37.921,OFF
23-06-06 11:14:23,186.752,0.241,3.517,37.921,ON
23-06-06 11:14:30,203.413,0.029,2.094,37.921,OFF
23-06-06 11:14:47,202.814,0.039,4.165,37.921,ON
23-06-06 11:28:36,205.784,0.224,29.865,37.928,ON
23-06-06 11:43:36,210.814,0.220,29.867,37.935,ON
23-06-06 11:58:36,209.802,0.204,28.899,37.943,ON
23-06-06 12:13:36,171.206,5.264,904.851,38.041,ON
23-06-06 12:28:36,206.438,0.204,28.397,38.141,ON
23-06-06 12:43:36,207.687,0.201,28.329,38.149,ON
23-06-06 12:58:36,218.436,0.196,28.606,38.156,ON
23-06-06 13:13:36,209.749,0.200,28.355,38.163,ON
23-06-06 13:28:36,166.293,5.125,854.455,38.250,ON
23-06-06 13:43:36,198.730,0.207,28.322,38.289,ON
23-06-06 13:58:36,206.638,0.200,28.549,38.296,ON
23-06-06 14:13:36,165.929,5.101,846.659,38.380,ON
23-06-06 14:28:36,204.205,0.206,28.609,38.474,ON
23-06-06 14:43:36,200.301,0.208,28.322,38.648,ON
23-06-06 14:49:14,202.996,0.068,7.131,38.651,ON
23-06-06 15:03:49,199.895,0.213,28.753,38.658,ON
23-06-06 15:18:49,196.713,0.208,28.345,38.665,ON
23-06-06 15:33:49,206.536,0.202,28.563,38.672,ON
23-06-06 15:48:49,205.848,0.199,28.529,38.679,ON
23-06-06 16:03:49,192.894,0.210,28.466,38.686,ON
23-06-06 16:18:49,195.545,0.208,28.269,38.693,ON
