TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
23-06-11 13:40:05,203.901,0.524,105.936,0.231,ON
23-06-11 13:40:45,206.109,0.025,0.073,0.231,OFF
23-06-11 16:26:37,206.508,0.589,120.24,0.232,ON
23-06-11 16:27:18,206.22,0.025,0.046,0.233,OFF
23-06-02 23:47:43,194.393,0.464,89.6,0.221,ON
23-06-02 23:47:52,195.681,0.025,0.202,0.221,OFF
23-06-02 23:48:54,202.414,0.488,98.236,0.221,ON
23-06-02 23:49:28,201.497,0.025,0.152,0.222,OFF
23-06-02 23:50:24,201.217,0.52,103.86,0.222,ON
23-06-15 16:11:18,234.515,0.512,119.42,0.236,ON
23-06-15 16:11:40,231.338,0.025,0.156,0.236,OFF
23-06-15 16:26:10,225.14,0.025,0.071,0.237,OFF
23-06-15 16:41:10,221.76,0.025,0.054,0.237,OFF
22-10-08 16:43:47,241.777,0.039,5.315,0.056,ON
22-10-08 16:58:18,235.968,4.064,956.141,0.172,ON
22-10-08 17:00:07,241.232,0.025,1.115,0.178,OFF
23-06-21 10:57:32,222.664,0.513,113.504,0.239,ON
23-06-10 13:08:55,212.62,0.472,99.884,0.229,ON
23-06-10 13:09:32,20.641,0.025,0.003,0.23,OFF
23-06-20 21:15:14,208.117,0.987,199.138,0.238,ON
23-06-20 21:15:40,210.495,0.025,0.15,0.239,OFF
23-06-13 08:35:15,234.017,0.482,112.406,0.235,ON
23-06-13 08:35:48,197.323,0.025,0.118,0.236,OFF
23-06-24 10:52:08,223.126,0.648,143.046,0.24,ON
23-06-24 10:52:18,218.405,0.025,0.265,0.24,OFF
23-06-24 10:52:31,221.88,0.632,138.726,0.24,ON
23-06-24 11:58:50,219.836,0.507,110.95,0.241,ON
23-06-24 11:59:06,218.524,0.025,0.022,0.241,OFF
23-06-24 12:01:29,222.522,0.492,109.072,0.241,ON
23-06-24 12:01:53,223.041,0.025,0.086,0.242,OFF
23-06-24 12:02:14,221.357,0.484,106.643,0.242,ON
23-06-24 12:02:30,223.565,0.025,0.276,0.242,OFF
23-05-11 22:22:58,205.19,0.504,102.741,0.206,ON
23-05-11 22:23:46,208.814,0.025,0.116,0.207,OFF
23-05-11 22:24:13,206.644,0.474,97.395,0.207,ON
23-05-11 22:24:31,208.209,0.025,0.193,0.207,OFF
23-05-24 13:52:08,206.78,0.538,110.184,0.215,ON
23-05-24 13:52:28,206.601,0.025,0.049,0.216,OFF
22-10-07 00:04:57,253.208,0.025,0.023,0.052,OFF
22-10-07 00:19:57,252.652,0.025,0.1,0.052,OFF
22-10-07 00:34:57,252.586,0.025,0.241,0.052,OFF
22-10-07 00:49:57,254.51,0.025,0.253,0.052,OFF
22-10-07 01:04:57,255.135,0.025,0.019,0.052,OFF
22-10-07 01:19:57,255.358,0.025,0.153,0.052,OFF
22-10-07 01:34:57,255.723,0.025,0.085,0.052,OFF
22-10-07 01:49:57,256.069,0.025,0.175,0.053,OFF
