TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
23-04-23 03:12:16,229.043,4.363,992.355,0.836,ON
23-04-23 03:15:44,228.582,4.352,987.925,0.839,ON
23-04-23 03:18:05,225.225,4.271,955.173,0.853,ON
23-04-23 03:21:37,240.724,0.025,0.151,0.906,OFF
23-04-23 03:22:20,223.805,4.21,935.681,0.907,ON
23-04-23 03:25:42,225.232,4.238,947.904,0.942,ON
22-10-08 16:12:31,245.766,0.041,5.347,0.042,ON
22-10-08 16:23:27,243.701,0.038,5.196,0.127,ON
22-10-08 16:23:33,243.876,0.025,0.032,0.127,OFF
22-10-08 16:23:47,243.515,0.039,5.346,0.128,ON
22-10-08 16:38:11,241.605,0.039,5.183,0.244,ON
22-10-08 16:41:13,242.394,0.025,1.336,0.26,OFF
22-10-07 00:05:01,231.767,0.025,0.14,0.039,OFF
22-10-07 00:20:01,231.126,0.025,0.012,0.039,OFF
22-10-07 00:35:01,231.724,0.025,0.186,0.039,OFF
22-10-07 00:50:01,231.687,0.025,0.062,0.039,OFF
22-10-07 01:05:01,231.757,0.025,0.203,0.039,OFF
22-10-07 01:20:01,231.59,0.025,0.133,0.039,OFF
22-10-07 01:35:01,232.046,0.025,0.064,0.039,OFF
22-10-07 01:50:01,231.326,0.025,0.139,0.039,OFF
22-10-07 02:05:01,231.666,0.025,0.069,0.039,OFF
22-10-07 02:20:01,231.348,0.025,0.148,0.039,OFF
22-10-07 02:35:01,231.552,0.025,0.019,0.039,OFF
22-10-07 02:50:01,231.957,0.025,0.2,0.039,OFF
22-10-07 03:05:01,231.3,0.025,0.017,0.039,OFF
22-10-07 03:20:01,231.339,0.025,0.021,0.039,OFF
22-10-07 03:35:01,231.992,0.025,0.201,0.039,OFF
22-10-07 03:50:01,231.426,0.025,0.08,0.039,OFF
22-10-07 04:05:01,231.738,0.025,0.056,0.039,OFF
22-10-07 04:20:01,231.264,0.025,0.107,0.04,OFF
22-10-07 04:35:01,231.805,0.025,0.077,0.04,OFF
22-10-07 04:50:01,231.941,0.025,0.113,0.04,OFF
22-10-07 05:05:01,231.167,0.025,0.134,0.04,OFF
22-10-07 05:20:01,231.683,0.025,0.075,0.04,OFF
22-10-07 05:35:01,231.458,0.025,0.059,0.04,OFF
22-10-07 05:50:01,232.045,0.025,0.071,0.04,OFF
22-10-07 06:05:01,231.711,0.025,0.138,0.04,OFF
22-10-07 06:20:01,231.619,0.025,0.206,0.04,OFF
22-10-07 06:35:01,231.679,0.025,0.023,0.04,OFF
22-10-07 06:50:01,231.643,0.025,0.022,0.04,OFF
22-10-07 07:05:01,231.63,0.025,0.162,0.04,OFF
22-10-07 07:20:01,231.502,0.025,0.022,0.04,OFF
22-10-07 07:35:01,231.594,0.025,0.086,0.04,OFF
22-10-07 07:50:01,231.39,0.025,0.175,0.04,OFF
22-10-07 08:05:01,231.43,0.025,0.063,0.04,OFF
22-10-07 08:20:01,231.748,0.025,0.091,0.04,OFF
22-10-07 08:35:01,231.353,0.025,0.003,0.04,OFF
22-10-07 08:50:01,231.469,0.025,0.087,0.04,OFF
22-10-07 09:05:01,231.828,0.025,0.185,0.04,OFF
22-10-07 09:20:01,231.556,0.025,0.041,0.04,OFF
22-10-07 09:35:01,231.303,0.025,0.041,0.04,OFF
22-10-07 09:50:01,231.048,0.025,0.1,0.04,OFF
22-10-07 10:05:01,231.013,0.025,0.068,0.04,OFF
22-10-07 10:20:01,230.739,0.025,0.064,0.04,OFF
22-10-07 10:35:01,230.633,0.025,0.009,0.04,OFF
22-10-07 10:50:01,230.06,0.025,0.027,0.04,OFF
22-10-07 11:05:01,231.154,0.025,0.053,0.04,OFF
22-10-07 11:20:01,231.294,0.025,0.037,0.04,OFF
22-10-07 11:35:01,231.172,0.025,0.033,0.04,OFF
22-10-07 11:50:01,231.129,0.025,0.178,0.04,OFF
22-10-07 12:05:01,230.834,0.025,0.096,0.04,OFF
22-10-07 12:20:01,231.202,0.025,0.059,0.04,OFF
22-10-07 12:35:01,230.777,0.025,0.231,0.04,OFF
22-10-07 12:50:01,230.971,0.025,0.075,0.04,OFF
22-10-07 13:05:01,231.519,0.025,0.035,0.041,OFF
22-10-07 13:20:01,230.102,0.025,0.307,0.041,OFF
22-10-07 13:35:01,230.292,0.025,0.023,0.041,OFF
